Country,Cumulative Cases,Date,Local Trans,No Recovered,No_Deaths,,,,,,,
Mongolia,3,2003_04_25,None,3,0,,,,,,,
Philippines,2,2003_04_25,None,1,1,,,,,,,
Republic of Ireland,1,2003_04_25,None,1,0,,,,,,,
Romania,1,2003_04_25,None,1,0,,,,,,,
Singapore,195,2003_04_25,Yes,126,19,,,,,,,
South Africa,1,2003_04_25,None,0,0,,,,,,,
Spain,1,2003_04_25,None,1,0,,,,,,,
Sweden,3,2003_04_25,None,2,0,,,,,,,
Switzerland,1,2003_04_25,None,1,0,,,,,,,
Thailand,8,2003_04_25,None,5,2,,,,,,,
United Kingdom,6,2003_04_25,Yes,6,0,,,,,,,
United States,39,2003_04_25,Yes,not available,0,,,,,,,
Viet Nam,63,2003_04_25,Yes,53,5,,,,,,,
Total,4649,2003_04_25,,2206,274,,,,,,,
Australia,4,2003_04_26,None,3,0,,,,,,,
Brazil,2,2003_04_26,None,2,0,,,,,,,
Bulgaria,1,2003_04_26,None,0,0,,,,,,,
Canada,142,2003_04_26,Yes,77,18,,,,,,,
China,2753,2003_04_26,Yes,1285,122,,,,,,,
"China, Hong Kong Special Administrative Region5",1527,2003_04_26,Yes,632,121,,,,,,,
"China, Taiwan",49,2003_04_26,Yes,25,0,,,,,,,
France,5,2003_04_26,None,1,0,,,,,,,
Germany,7,2003_04_26,None,6,0,,,,,,,
India,1,2003_04_26,None,1,0,,,,,,,
Indonesia,1,2003_04_26,None,1,0,,,,,,,
Italy,4,2003_04_26,None,3,0,,,,,,,
Japan,2,2003_04_26,None,0,0,,,,,,,
Kuwait,1,2003_04_26,None,1,0,,,,,,,
Malaysia,5,2003_04_26,None,2,2,,,,,,,
Mongolia,5,2003_04_26,None,3,0,,,,,,,
Philippines,4,2003_04_26,None,1,2,,,,,,,
Republic of Ireland,1,2003_04_26,None,1,0,,,,,,,
Romania,1,2003_04_26,None,1,0,,,,,,,
Singapore,198,2003_04_26,Yes,126,21,,,,,,,
South Africa,1,2003_04_26,None,0,0,,,,,,,
Spain,1,2003_04_26,None,1,0,,,,,,,
Sweden,3,2003_04_26,None,2,0,,,,,,,
Switzerland,1,2003_04_26,None,1,0,,,,,,,
Thailand,7,2003_04_26,None,5,2,,,,,,,
United Kingdom,6,2003_04_26,Yes,6,0,,,,,,,
United States,41,2003_04_26,Yes,not available,0,,,,,,,
Viet Nam,63,2003_04_26,Yes,53,5,,,,,,,
Total,4836,2003_04_26,,2239,293,,,,,,,
Australia,4,2003_04_28,None,3,0,,,,,,,
Brazil,2,2003_04_28,None,2,0,,,,,,,
Bulgaria,1,2003_04_28,None,0,0,,,,,,,
Canada,142,2003_04_28,Yes,77,18,,,,,,,
China,2914,2003_04_28,Yes,1299,131,,,,,,,
"China, Hong Kong Special Administrative Region^5",1557,2003_04_28,Yes,710,138,,,,,,,
"China, Taiwan",66,2003_04_28,Yes,25,0,,,,,,,
France,5,2003_04_28,None,1,0,,,,,,,
Germany,7,2003_04_28,None,6,0,,,,,,,
India,1,2003_04_28,None,1,0,,,,,,,
Indonesia,1,2003_04_28,None,1,0,,,,,,,
Italy,8,2003_04_28,None,3,0,,,,,,,
Japan,2,2003_04_28,None,0,0,,,,,,,
Kuwait,1,2003_04_28,None,1,0,,,,,,,
Malaysia,6,2003_04_28,None,2,2,,,,,,,
Mongolia,5,2003_04_28,None,3,0,,,,,,,
Philippines,4,2003_04_28,None,1,2,,,,,,,
Republic of Ireland,1,2003_04_28,None,1,0,,,,,,,
Romania,1,2003_04_28,None,1,0,,,,,,,
Singapore,199,2003_04_28,Yes,137,23,,,,,,,
South Africa,1,2003_04_28,None,0,0,,,,,,,
Spain,1,2003_04_28,None,1,0,,,,,,,
Sweden,3,2003_04_28,None,2,0,,,,,,,
Switzerland,1,2003_04_28,None,1,0,,,,,,,
Thailand,7,2003_04_28,None,5,2,,,,,,,
United Kingdom,6,2003_04_28,Yes,6,0,,,,,,,
United States,41,2003_04_28,Yes,not available,0,,,,,,,
Viet Nam,63,2003_04_28,None,53,5,,,,,,,
Total,5050,2003_04_28,,2342,321,,,,,,,
Australia,4,2003_04_29,None,3,0,,,,,,,
Brazil,2,2003_04_29,None,2,0,,,,,,,
Bulgaria,1,2003_04_29,None,0,0,,,,,,,
Canada,146,2003_04_29,Yes,86,20,,,,,,,
China,3303,2003_04_29,Yes,1322,148,,,,,,,
"China, Hong Kong Special Administrative Region^6",1572,2003_04_29,Yes,759,150,,,,,,,
"China, Taiwan",66,2003_04_29,Yes,25,0,,,,,,,
France,5,2003_04_29,None,1,0,,,,,,,
Germany,7,2003_04_29,None,6,0,,,,,,,
India,1,2003_04_29,None,1,0,,,,,,,
Indonesia,1,2003_04_29,None,1,0,,,,,,,
Italy,9,2003_04_29,None,4,0,,,,,,,
Japan,2,2003_04_29,None,0,0,,,,,,,
Kuwait,1,2003_04_29,None,1,0,,,,,,,
Malaysia,6,2003_04_29,None,3,2,,,,,,,
Mongolia,5,2003_04_29,None,3,0,,,,,,,
Philippines,4,2003_04_29,None,1,2,,,,,,,
Republic of Ireland,1,2003_04_29,None,1,0,,,,,,,
Republic of Korea,1,2003_04_29,None,0,0,,,,,,,
Romania,1,2003_04_29,None,1,0,,,,,,,
Singapore,201,2003_04_29,Yes,139,24,,,,,,,
South Africa,1,2003_04_29,None,0,0,,,,,,,
Spain,1,2003_04_29,None,1,0,,,,,,,
Sweden,3,2003_04_29,None,2,0,,,,,,,
Switzerland,1,2003_04_29,None,1,0,,,,,,,
Thailand,7,2003_04_29,None,5,2,,,,,,,
United Kingdom,6,2003_04_29,Yes,6,0,,,,,,,
United States,41,2003_04_29,Yes,not available,0,,,,,,,
