Country,Cumulative_Cases,Date,Recovered,Deaths,,,,,
"China, Hong Kong Special Administrative Region^4",1754,2003-06-11,1368,290,,,,,
"China, Macao Special Administrative Region",1,2003-06-11,1,0,,,,,
"China, Taiwan",687,2003-06-11,344,81,,,,,
Colombia,1,2003-06-11,1,0,,,,,
Finland,1,2003-06-11,1,0,,,,,
France,7,2003-06-11,6,0,,,,,
Germany,10,2003-06-11,9,0,,,,,
India,3,2003-06-11,3,0,,,,,
Indonesia,2,2003-06-11,2,0,,,,,
Italy,9,2003-06-11,9,0,,,,,
Kuwait,1,2003-06-11,1,0,,,,,
Malaysia,5,2003-06-11,3,2,,,,,
Mongolia,9,2003-06-11,9,0,,,,,
New Zealand,1,2003-06-11,1,0,,,,,
Philippines,12,2003-06-11,10,2,,,,,
Republic of Ireland,1,2003-06-11,1,0,,,,,
Republic of Korea,3,2003-06-11,3,0,,,,,
Romania,1,2003-06-11,1,0,,,,,
Russian Federation,1,2003-06-11,0,0,,,,,
Singapore,206,2003-06-11,168,31,,,,,
South Africa,1,2003-06-11,0,1,,,,,
Spain,1,2003-06-11,1,0,,,,,
Sweden,3,2003-06-11,3,0,,,,,
Switzerland,1,2003-06-11,1,0,,,,,
Thailand,9,2003-06-11,6,2,,,,,
United Kingdom,4,2003-06-11,4,0,,,,,
United States,71,2003-06-11,36,0,,,,,
Viet Nam,63,2003-06-11,58,5,,,,,
Total,8435,2003-06-11,6581,789,,,,,
Australia,5,2003-06-12,5,0,,,,,
Brazil,3,2003-06-12,2,0,,,,,
Canada,238,2003-06-12,141,32,,,,,
China,5328,2003-06-12,4457,343,,,,,
"China, Hong Kong Special Administrative Region^4",1755,2003-06-12,1377,291,,,,,
"China, Macao Special Administrative Region",1,2003-06-12,1,0,,,,,
"China, Taiwan",688,2003-06-12,347,81,,,,,
Colombia,1,2003-06-12,1,0,,,,,
Finland,1,2003-06-12,1,0,,,,,
France,7,2003-06-12,6,0,,,,,
Germany,10,2003-06-12,9,0,,,,,
India,3,2003-06-12,3,0,,,,,
Indonesia,2,2003-06-12,2,0,,,,,
Italy,9,2003-06-12,9,0,,,,,
Kuwait,1,2003-06-12,1,0,,,,,
Malaysia,5,2003-06-12,3,2,,,,,
Mongolia,9,2003-06-12,9,0,,,,,
New Zealand,1,2003-06-12,1,0,,,,,
Philippines,14,2003-06-12,12,2,,,,,
